player_id,survival_norm,reaction_norm,score_norm,roll5_survival_norm,roll5_reaction_norm,roll5_score_norm,sessions_log,target
p_001,0.03318,0.91956,0.03393,0.0,1.0,0.0,1.79176,0.5
p_001,0.08961,0.93645,0.09109,0.0,1.0,0.0,1.79176,0.5
p_001,0.21984,0.92601,0.22277,0.0,1.0,0.0,1.79176,0.5
p_001,0.42545,0.92601,0.42897,0.0,1.0,0.0,1.79176,0.5
p_001,0.57418,0.9205,0.58048,0.0,1.0,0.0,1.79176,0.5
p_100,0.04518,1.0,0.04524,0.05362,0.75227,0.04909,3.43399,0.1678
p_100,0.0,0.93269,0.0,0.05362,0.75227,0.04909,3.43399,0.1834
p_100,0.05707,0.94114,0.05716,0.05362,0.75227,0.04909,3.43399,0.2154
p_100,0.09109,0.87909,0.09109,0.05362,0.75227,0.04909,3.43399,0.2539
p_100,0.157,0.968,0.15709,0.05362,0.75227,0.04909,3.43399,0.2856
p_100,0.19855,0.99427,0.19861,0.05362,0.75227,0.04909,3.43399,0.3436
p_100,0.17754,0.80098,0.17754,0.05362,0.75227,0.04909,3.43399,0.4135
p_100,0.16555,0.82936,0.16561,0.05362,0.75227,0.04909,3.43399,0.4602
p_100,0.22579,0.79933,0.22587,0.05362,0.75227,0.04909,3.43399,0.5107
p_100,0.15821,0.76591,0.15817,0.05362,0.75227,0.04909,3.43399,0.5365
p_100,0.23852,0.81963,0.23857,0.05362,0.75227,0.04909,3.43399,0.5705
p_100,0.2494,0.80027,0.24942,0.05362,0.75227,0.04909,3.43399,0.5922
p_100,0.18516,0.72732,0.18513,0.05362,0.75227,0.04909,3.43399,0.6109
p_100,0.26827,0.8018,0.26832,0.05362,0.75227,0.04909,3.43399,0.6234
p_100,0.26325,0.81188,0.26321,0.05362,0.75227,0.04909,3.43399,0.6491
p_100,0.2309,0.75711,0.23083,0.05362,0.75227,0.04909,3.43399,0.6547
p_100,0.20896,0.87968,0.20899,0.05362,0.75227,0.04909,3.43399,0.6325
p_100,0.16722,0.75699,0.16731,0.05362,0.75227,0.04909,3.43399,0.6234
p_100,0.22755,0.6641,0.22758,0.05362,0.75227,0.04909,3.43399,0.6285
p_100,0.24754,0.63935,0.24756,0.05362,0.75227,0.04909,3.43399,0.6456
p_100,0.29281,0.61366,0.2928,0.05362,0.75227,0.04909,3.43399,0.6822
p_100,0.27933,0.73013,0.27932,0.05362,0.75227,0.04909,3.43399,0.7222
p_100,0.21435,0.67137,0.21441,0.05362,0.75227,0.04909,3.43399,0.7471
p_100,0.30712,0.75946,0.3072,0.05362,0.75227,0.04909,3.43399,0.759
p_100,0.30786,0.72732,0.30782,0.05362,0.75227,0.04909,3.43399,0.766
p_100,0.31604,0.76989,0.31603,0.05362,0.75227,0.04909,3.43399,0.7533
p_100,0.31549,0.72392,0.31557,0.05362,0.75227,0.04909,3.43399,0.7649
p_100,0.2533,0.61906,0.25329,0.05362,0.75227,0.04909,3.43399,0.7832
p_100,0.33315,0.78772,0.33308,0.05362,0.75227,0.04909,3.43399,0.7875
p_100,0.29262,0.62246,0.29264,0.05362,0.75227,0.04909,3.43399,0.7961
p_101,0.2164,0.76039,0.21642,0.56189,0.46533,0.55977,3.43399,0.1834
p_101,0.15319,0.72204,0.15321,0.56189,0.46533,0.55977,3.43399,0.1664
p_101,0.2573,0.7326,0.25732,0.56189,0.46533,0.55977,3.43399,0.1932
p_101,0.22523,0.78503,0.22525,0.56189,0.46533,0.55977,3.43399,0.1881
p_101,0.34328,0.69307,0.3433,0.56189,0.46533,0.55977,3.43399,0.2234
p_101,0.33594,0.71395,0.33586,0.56189,0.46533,0.55977,3.43399,0.2549
p_101,0.29532,0.53203,0.29543,0.56189,0.46533,0.55977,3.43399,0.3136
p_101,0.27496,0.53015,0.27498,0.56189,0.46533,0.55977,3.43399,0.349
p_101,0.49749,0.63982,0.49744,0.56189,0.46533,0.55977,3.43399,0.4269
p_101,0.43791,0.5854,0.43796,0.56189,0.46533,0.55977,3.43399,0.463
p_101,0.40073,0.57449,0.40077,0.56189,0.46533,0.55977,3.43399,0.4981
p_101,0.36661,0.65554,0.36654,0.56189,0.46533,0.55977,3.43399,0.4931
p_101,0.43261,0.58024,0.43269,0.56189,0.46533,0.55977,3.43399,0.5171
p_101,0.46988,0.51186,0.46987,0.56189,0.46533,0.55977,3.43399,0.5317
p_101,0.3865,0.56112,0.38652,0.56189,0.46533,0.55977,3.43399,0.5251
p_101,0.53644,0.57425,0.53648,0.56189,0.46533,0.55977,3.43399,0.5526
p_101,0.41346,0.46811,0.41348,0.56189,0.46533,0.55977,3.43399,0.5915
p_101,0.51246,0.53039,0.51247,0.56189,0.46533,0.55977,3.43399,0.6155
p_101,0.45194,0.44031,0.4519,0.56189,0.46533,0.55977,3.43399,0.6232
p_101,0.56051,0.57472,0.5605,0.56189,0.46533,0.55977,3.43399,0.6563
p_101,0.52268,0.5359,0.5227,0.56189,0.46533,0.55977,3.43399,0.6595
p_101,0.53095,0.48676,0.53106,0.56189,0.46533,0.55977,3.43399,0.6804
p_101,0.49749,0.49696,0.49744,0.56189,0.46533,0.55977,3.43399,0.6826
p_101,0.58301,0.51186,0.58296,0.56189,0.46533,0.55977,3.43399,0.6979
p_101,0.6253,0.42858,0.62541,0.56189,0.46533,0.55977,3.43399,0.734
p_101,0.64705,0.44547,0.6471,0.56189,0.46533,0.55977,3.43399,0.7734
p_101,0.56563,0.40336,0.56561,0.56189,0.46533,0.55977,3.43399,0.7935
p_101,0.62725,0.47632,0.62727,0.56189,0.46533,0.55977,3.43399,0.823
p_101,0.62642,0.45556,0.62634,0.56189,0.46533,0.55977,3.43399,0.8407
p_101,0.63999,0.46189,0.63997,0.56189,0.46533,0.55977,3.43399,0.8384
p_102,0.38074,0.50658,0.38079,1.0,0.0,1.0,3.43399,0.15
p_102,0.57994,0.36032,0.58002,1.0,0.0,1.0,3.43399,0.2237
p_102,0.53067,0.37568,0.5306,1.0,0.0,1.0,3.43399,0.2487
p_102,0.63209,0.33756,0.63207,1.0,0.0,1.0,3.43399,0.2873
p_102,0.60522,0.28314,0.60527,1.0,0.0,1.0,3.43399,0.3125
p_102,0.44683,0.31117,0.44679,1.0,0.0,1.0,3.43399,0.3463
p_102,0.70069,0.19869,0.7007,1.0,0.0,1.0,3.43399,0.385
p_102,0.68702,0.28068,0.68691,1.0,0.0,1.0,3.43399,0.4215
p_102,0.82525,0.14861,0.82525,1.0,0.0,1.0,3.43399,0.4751
p_102,0.79941,0.23341,0.79938,1.0,0.0,1.0,3.43399,0.5123
p_102,0.68461,0.19881,0.68459,1.0,0.0,1.0,3.43399,0.564
p_102,0.66035,0.1255,0.66026,1.0,0.0,1.0,3.43399,0.5662
p_102,0.67736,0.12128,0.6773,1.0,0.0,1.0,3.43399,0.5835
p_102,0.79894,0.08938,0.79892,1.0,0.0,1.0,3.43399,0.5863
p_102,0.66118,0.17418,0.66119,1.0,0.0,1.0,3.43399,0.5709
p_102,0.93149,0.16421,0.93153,1.0,0.0,1.0,3.43399,0.6149
p_102,0.74261,0.13441,0.74253,1.0,0.0,1.0,3.43399,0.6271
p_102,0.86763,0.1106,0.8677,1.0,0.0,1.0,3.43399,0.6591
p_102,0.81195,0.10345,0.81193,1.0,0.0,1.0,3.43399,0.6596
p_102,0.83259,0.00844,0.83253,1.0,0.0,1.0,3.43399,0.7069
p_102,0.86782,0.12832,0.86785,1.0,0.0,1.0,3.43399,0.7008
p_102,0.88381,0.07284,0.88381,1.0,0.0,1.0,3.43399,0.7309
p_102,1.0,0.0685,1.0,1.0,0.0,1.0,3.43399,0.7573
p_102,0.89626,0.03824,0.8962,1.0,0.0,1.0,3.43399,0.7786
p_102,0.89273,0.06345,0.89264,1.0,0.0,1.0,3.43399,0.7818
p_102,0.80229,0.04668,0.80232,1.0,0.0,1.0,3.43399,0.7809
p_102,0.89022,0.00516,0.89016,1.0,0.0,1.0,3.43399,0.79
p_102,0.87377,0.0,0.87374,1.0,0.0,1.0,3.43399,0.7777
p_102,0.96431,0.0902,0.96437,1.0,0.0,1.0,3.43399,0.7825
p_102,0.9512,0.02404,0.9512,1.0,0.0,1.0,3.43399,0.7966
